# zs        u          g          r          i          z          u-g                     g-r                  r-i                  i-z                     eu          eg           er           ei           ez           eu-g                  eg-r                  er-i                   ei-z                  
6.844000000000000083e-01 2.264975000000000094e+01 2.270467999999999975e+01 2.098581000000000074e+01 1.956927999999999912e+01 1.920953000000000088e+01 -5.492999999999881311e-02 1.718869999999999010e+00 1.416530000000001621e+00 3.597499999999982379e-01 1.051009000000000082e+00 3.817221000000000086e-01 1.180115000000000053e-01 5.062884000000000134e-02 1.450192999999999899e-01 1.118182310586878447e+00 3.995478391390197559e-01 1.284133699113748917e-01 1.536029843858367216e-01
4.415000000000000036e-01 2.302403999999999940e+01 2.188659000000000177e+01 2.050280000000000058e+01 1.965487999999999857e+01 1.911268000000000100e+01 1.137449999999997630e+00 1.383790000000001186e+00 8.479200000000020054e-01 5.421999999999975728e-01 1.112101000000000006e+00 1.466993000000000047e-01 5.878508000000000344e-02 3.906942000000000054e-02 9.555835999999999497e-02 1.121734959257974618e+00 1.580391415159434487e-01 7.058402942410414715e-02 1.032367170391716715e-01
4.450000000000000067e-01 2.318590999999999980e+01 2.139859999999999829e+01 1.952831000000000117e+01 1.873778000000000077e+01 1.824717000000000056e+01 1.787310000000001509e+00 1.870289999999997121e+00 7.905300000000003990e-01 4.906100000000002126e-01 1.655245000000000077e+00 1.279346000000000094e-01 3.359039999999999943e-02 2.797706000000000151e-02 6.006467000000000056e-02 1.660181698460189814e+00 1.322708465585671067e-01 4.371533893730666226e-02 6.626070078449593226e-02
2.997000000000000219e-01 2.287447999999999837e+01 2.102907000000000082e+01 1.955404000000000053e+01 1.871047000000000082e+01 1.812292000000000058e+01 1.845409999999997552e+00 1.475030000000000285e+00 8.435699999999997090e-01 5.875500000000002387e-01 1.128703999999999930e+00 8.876865999999999923e-02 3.491240999999999789e-02 2.645836999999999842e-02 5.857756000000000074e-02 1.132189292748432274e+00 9.538737531876899378e-02 4.380549868526781299e-02 6.427577987555266326e-02
5.084999999999999520e-01 2.260989000000000004e+01 2.248833000000000126e+01 2.060368000000000066e+01 1.969219000000000008e+01 1.939235000000000042e+01 1.215599999999987801e-01 1.884650000000000603e+00 9.114900000000005775e-01 2.998399999999996624e-01 5.999375999999999598e-01 1.893523000000000012e-01 4.923666000000000154e-02 3.029338000000000169e-02 9.128181999999999963e-02 6.291100201149636417e-01 1.956490281173039747e-01 5.780949368209342687e-02 9.617722981213797095e-02
5.141000000000000014e-01 2.435920000000000130e+01 2.167929000000000173e+01 2.017514999999999858e+01 1.927376999999999896e+01 1.887065000000000126e+01 2.679909999999999570e+00 1.504140000000003141e+00 9.013799999999996260e-01 4.031199999999977024e-01 1.591398000000000090e+00 1.378854999999999942e-01 4.088106999999999852e-02 2.894907999999999856e-02 7.198580999999999730e-02 1.597360324258196407e+00 1.438181942404885560e-01 5.009302463608381051e-02 7.758869810869685468e-02
6.019999999999999796e-01 2.578431000000000139e+01 2.176244000000000156e+01 2.045827999999999847e+01 1.953611000000000075e+01 1.891509999999999891e+01 4.021869999999999834e+00 1.304160000000003095e+00 9.221699999999977138e-01 6.210100000000018383e-01 1.293166999999999955e+00 1.565547999999999940e-01 6.723471999999999782e-02 4.518578000000000178e-02 1.012924999999999937e-01 1.302609033936138472e+00 1.703816685459982327e-01 8.100779152456137611e-02 1.109140445140217590e-01
5.346999999999999531e-01 2.529173000000000116e+01 2.261790999999999840e+01 2.049099000000000004e+01 1.950863999999999976e+01 1.912276999999999916e+01 2.673820000000002750e+00 2.126919999999998367e+00 9.823500000000002785e-01 3.858700000000006014e-01 1.762945999999999902e+00 3.034348000000000045e-01 6.493015000000000592e-02 4.099772000000000138e-02 1.136519000000000001e-01 1.788868714234512991e+00 3.103040480400836021e-01 7.679021698250956818e-02 1.208203932240265455e-01
5.445999999999999730e-01 2.593146000000000129e+01 2.229587000000000074e+01 2.045596000000000103e+01 1.940334999999999965e+01 1.956803000000000026e+01 3.635590000000000543e+00 1.839909999999999712e+00 1.052610000000001378e+00 -1.646800000000006037e-01 1.333220999999999989e+00 2.332695999999999936e-01 6.486057000000000627e-02 3.853826999999999947e-02 1.989488000000000090e-01 1.353474396183821371e+00 2.421189786548854916e-01 7.544595280939728199e-02 2.026470411233110280e-01
4.641000000000000125e-01 2.392890999999999835e+01 2.164485000000000170e+01 1.990940000000000154e+01 1.906616000000000000e+01 1.865819000000000116e+01 2.284059999999996649e+00 1.735450000000000159e+00 8.432400000000015439e-01 4.079699999999988336e-01 1.553150999999999948e+00 1.124432999999999960e-01 3.426263999999999699e-02 2.454819000000000098e-02 6.585161999999999960e-02 1.557215953076479975e+00 1.175475402322804785e-01 4.214904663270214319e-02 7.027837141610852878e-02
4.975999999999999868e-01 2.206024000000000029e+01 2.168525999999999954e+01 2.046255000000000024e+01 1.964167000000000129e+01 1.935220999999999947e+01 3.749800000000007572e-01 1.222709999999999297e+00 8.208799999999989438e-01 2.894600000000018269e-01 4.045968999999999816e-01 1.053342000000000028e-01 5.022979999999999806e-02 3.647682000000000008e-02 1.260087000000000013e-01 4.180836581107302274e-01 1.166975856548883306e-01 6.207730024213681252e-02 1.311821286342099435e-01
6.049999999999999822e-01 2.339544000000000068e+01 2.241933999999999827e+01 2.111154000000000153e+01 1.986814000000000036e+01 1.945653000000000077e+01 9.761000000000024102e-01 1.307799999999996743e+00 1.243400000000001171e+00 4.116099999999995873e-01 1.894257000000000080e+00 2.536602000000000023e-01 1.144672999999999941e-01 5.785248999999999947e-02 1.771755999999999887e-01 1.911165371995066309e+00 2.782916812147463448e-01 1.282562800352875509e-01 1.863816080909275197e-01
5.574000000000000066e-01 2.618999000000000166e+01 2.206014000000000053e+01 2.057219999999999871e+01 1.969979999999999976e+01 1.912408999999999892e+01 4.129850000000001131e+00 1.487940000000001817e+00 8.723999999999989541e-01 5.757100000000008322e-01 5.808050999999999631e-01 1.357895000000000074e-01 4.907472000000000223e-02 3.447825000000000195e-02 8.897286000000000084e-02 5.964673943278542279e-01 1.443853055311668521e-01 5.997564394102743168e-02 9.541970205173615216e-02
4.994999999999999996e-01 2.421133999999999986e+01 2.130834000000000117e+01 1.961108000000000118e+01 1.878583000000000069e+01 1.843224999999999980e+01 2.902999999999998693e+00 1.697259999999999991e+00 8.252500000000004832e-01 3.535800000000008936e-01 1.531274000000000024e+00 8.134183000000000385e-02 2.568532999999999927e-02 2.077889999999999945e-02 4.618939999999999851e-02 1.533432931817935607e+00 8.530081761013665054e-02 3.303783985703211828e-02 5.064803409383230454e-02
5.662000000000000366e-01 2.340703999999999851e+01 2.205651999999999902e+01 2.053855000000000075e+01 1.955388999999999911e+01 1.900742999999999938e+01 1.350519999999999499e+00 1.517969999999998265e+00 9.846600000000016450e-01 5.464599999999997237e-01 1.185691000000000050e+00 2.044997000000000065e-01 5.826773999999999842e-02 3.877954000000000123e-02 8.275092000000000558e-02 1.203197105540521950e+00 2.126387942610604709e-01 6.999272996046945750e-02 9.138691089788515687e-02
6.068999999999999950e-01 2.584350999999999843e+01 2.354129999999999967e+01 2.074318999999999846e+01 1.959688999999999837e+01 1.923884999999999934e+01 2.302209999999998757e+00 2.798110000000001207e+00 1.146300000000000097e+00 3.580399999999990257e-01 1.281055000000000055e+00 6.561409999999999743e-01 7.521920999999999469e-02 3.832300000000000290e-02 1.082544000000000006e-01 1.439313351882070213e+00 6.604384463627356316e-01 8.441908482105275890e-02 1.148375698469799588e-01
5.847999999999999865e-01 2.326839999999999975e+01 2.226058000000000092e+01 2.031866000000000128e+01 1.915897999999999968e+01 1.852871999999999986e+01 1.007819999999998828e+00 1.941919999999999646e+00 1.159680000000001598e+00 6.302599999999998204e-01 2.375570000000000181e+00 3.161078999999999972e-01 7.630829999999999558e-02 3.949748000000000148e-02 8.543354000000000226e-02 2.396509342636162554e+00 3.251878858310991993e-01 8.592442944378740621e-02 9.412194581117624970e-02
4.466999999999999860e-01 2.597726000000000113e+01 2.197215999999999880e+01 1.998056000000000054e+01 1.906712999999999880e+01 1.853940000000000055e+01 4.005100000000002325e+00 1.991599999999998261e+00 9.134300000000017405e-01 5.277299999999982560e-01 1.726453999999999933e+00 2.471436999999999939e-01 5.719065000000000260e-02 3.642536999999999858e-02 8.637820000000000220e-02 1.744053732705987958e+00 2.536745531130635278e-01 6.780544245898996458e-02 9.374433857506755952e-02
4.536000000000000032e-01 2.570373999999999981e+01 2.188478999999999886e+01 2.029951000000000150e+01 1.947860000000000014e+01 1.892588999999999899e+01 3.818950000000000955e+00 1.585279999999997358e+00 8.209100000000013608e-01 5.527100000000011448e-01 8.707939000000000096e-01 1.148802000000000018e-01 3.833605000000000346e-02 2.821624000000000007e-02 7.407009999999999983e-02 8.783390442359089167e-01 1.211078572250475494e-01 4.760051396088176706e-02 7.926244958205366786e-02
5.088000000000000300e-01 2.513436000000000092e+01 2.178311000000000064e+01 1.992274000000000100e+01 1.907454999999999856e+01 1.855895999999999901e+01 3.351250000000000284e+00 1.860369999999999635e+00 8.481900000000024420e-01 5.155899999999995487e-01 1.969732000000000038e+00 1.514689999999999925e-01 4.021828000000000208e-02 2.673551000000000052e-02 6.409584000000000115e-02 1.975547268425891234e+00 1.567174783078084110e-01 4.829386649584500174e-02 6.944828435797173460e-02
7.544999999999999485e-01 2.297756000000000043e+01 2.262990999999999886e+01 2.100516999999999967e+01 1.981677000000000177e+01 1.941995000000000005e+01 3.476500000000015689e-01 1.624739999999999185e+00 1.188399999999997902e+00 3.968200000000017269e-01 1.379140000000000033e+00 4.577246999999999844e-01 1.205158000000000063e-01 6.670331000000000177e-02 1.706002000000000074e-01 1.453113567684952256e+00 4.733243697927774774e-01 1.377439276868352713e-01 1.831768539008029328e-01
5.647999999999999687e-01 2.386962000000000117e+01 2.374414000000000158e+01 2.099089000000000027e+01 1.991241000000000128e+01 1.966956000000000060e+01 1.254799999999995919e-01 2.753250000000001307e+00 1.078479999999998995e+00 2.428500000000006764e-01 2.392504999999999882e+00 7.982839000000000462e-01 9.887593000000000076e-02 5.455783000000000160e-02 1.699162999999999923e-01 2.522169177518472694e+00 8.043840093715034500e-01 1.129292094529745633e-01 1.784603760502563030e-01
4.823999999999999955e-01 2.220054000000000016e+01 2.223721000000000103e+01 2.063674999999999926e+01 1.974829000000000079e+01 1.934110000000000085e+01 -3.667000000000086857e-02 1.600460000000001770e+00 8.884599999999984732e-01 4.071899999999999409e-01 6.749473999999999752e-01 2.178132999999999875e-01 7.080566000000000637e-02 4.560021000000000213e-02 1.231314000000000020e-01 7.092225507015762487e-01 2.290329127984132851e-01 8.421888529349993990e-02 1.313039253716510035e-01
4.452999999999999736e-01 2.563432999999999851e+01 2.186118000000000094e+01 2.034244999999999948e+01 1.941234000000000037e+01 1.901441000000000159e+01 3.773149999999997561e+00 1.518730000000001468e+00 9.301099999999991041e-01 3.979299999999987847e-01 1.405810000000000004e+00 1.596770000000000134e-01 5.899917999999999829e-02 3.964212000000000291e-02 1.218184999999999962e-01 1.414849285411347246e+00 1.702282220128977508e-01 7.108024281589646332e-02 1.281063800922670748e-01
